class,name,min_code,max_code
1,Некоторые инфекционные и паразитарные болезни,A00,B99
2,Новообразования,C00,D48
3,"Болезни крови, кроветворных органов и отдельные нарушения, вовлекающие иммунный механизм",D50,D89
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ",E00,E90
5,Психические расстройства и расстройства поведения,F00,F99
6,Болезни нервной системы,G00,G99
7,Болезни глаза и его придаточного аппарата,H00,H59
8,Болезни уха и сосцевидного отростка,H60,H95
9,Болезни системы кровообращения,I00,I99
10,Болезни органов дыхания,J00,J99
11,Болезни органов пищеварения,K00,K93
12,Болезни кожи и подкожной клетчатки,L00,L99
13,Болезни костно-мышечной системы и соединительной ткани,M00,M99
14,Болезни мочеполовой системы,N00,N99
15,"Беременность, роды и послеродовой период",O00,O99
16,"Отдельные состояния, возникающие в перинатальном периоде",P00,P96
17,"Врожденные аномалии [пороки развития], деформации и хромосомные нарушения",Q00,Q99
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках",R00,R99
19,"Травмы, отравления и некоторые другие последствия воздействия внешних причин",S00,T98
20,Внешние причины заболеваемости и смертности,V01,Y98
21,"Факторы, влияющие на состояние здоровья и обращения в учреждения здравоохранения",Z00,Z99
22,Коды для специальных целей,U00,U85
