id,region,capital,lat,lon,to_spb,fo_rf
1,Адыгея,Майкоп,44.6062079,40.104053,1826.7335271095124,ЮФО
2,Башкортостан,Уфа,54.7261409,55.947499,1635.4589286309113,ПФО
3,Бурятия,Улан-Удэ,51.8357841,107.5839105,4631.615793051507,ДФО
4,Алтай,Горно-Алтайск,51.957775,85.963653,3474.1755942575282,СФО
5,Дагестан,Махачкала,42.9830241,47.5048717,2216.84801650951,СКФО
6,Ингушетия,Магас,43.1666497,44.8048191,2107.7402688751495,СКФО
7,Кабардино-Балкария,Нальчик,43.4769604,43.5966578,2038.8774049504552,СКФО
8,Калмыкия,Элиста,46.306999,44.270187,1772.419998417978,ЮФО
9,Карачаево-Черкессия,Черкесск,44.2285229,42.048257,1916.537360588803,СКФО
10,Карелия,Петрозаводск,61.7900426,34.390007,302.0801640531518,СЗФО
11,Коми,Сыктывкар,61.6685237,50.8352024,1127.8087662923351,СЗФО
12,Марий Эл,Йошкар-Ола,56.6326996,47.8975847,1090.0169046467906,ПФО
13,Мордовия,Саранск,54.18671,45.18383,1101.1762016101065,ПФО
14,Якутия,Якутск,62.0274078,129.7319787,4849.197069944182,ДФО
15,Алания,Владикавказ,43.024593,44.68211,2118.472403746475,СКФО
16,Татарстан,Казань,55.7823547,49.1242266,1202.2354442328851,ПФО
17,Тыва,Кызыл,51.719079,94.4300679,3951.111593238479,СФО
18,Удмуртия,Ижевск,56.86051745,53.197730742455306,1372.4278336932573,ПФО
19,Хакасия,Абакан,53.72068,91.4406019,3655.404101818373,СФО
20,Чечня,Грозный,43.3197031,45.6934308,2120.8006261855535,СКФО
21,Чувашия,Чебоксары,56.1307195,47.2449597,1081.2541520826255,ПФО
22,Алтайский,Барнаул,53.3475493,83.7788448,3263.8615104998253,СФО
23,Краснодарский,Краснодар,45.0351532,38.9772396,1755.2781465493788,ЮФО
24,Красноярский,Красноярск,56.0091173,92.872586,3586.5155351024305,СФО
25,Приморский,Владивосток,43.1150678,131.8855768,6555.411054670801,ДФО
26,Ставропольский,Ставрополь,45.0433245,41.9690934,1829.5533775056174,СКФО
27,Хабаровский,Хабаровск,48.4812568,135.0762968,6213.594733922153,ДФО
28,Амурская,Благовещенск,50.2600417,127.5337378,5722.047678556013,ДФО
